,name_track,name_album,artists_album
644,Sea Of Monsters - Remastered 2009,Yellow Submarine (Remastered),The Beatles
645,March Of The Meanies - Remastered 2009,Yellow Submarine (Remastered),The Beatles
646,Pepperland Laid Waste - Remastered 2009,Yellow Submarine (Remastered),The Beatles
647,Yellow Submarine In Pepperland - Remastered 2009,Yellow Submarine (Remastered),The Beatles
677,Good Night - Remastered 2009,The Beatles (Remastered),The Beatles
680,Flying - Remastered 2009,Magical Mystery Tour (Remastered),The Beatles
783,Drive My Car - Remastered 2009,Rubber Soul (Remastered),The Beatles
1214,Bad Guy,The Marshall Mathers LP2 (Deluxe),Eminem
1216,So Much Better,The Marshall Mathers LP2 (Deluxe),Eminem
1221,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem
1234,Bad Guy,The Marshall Mathers LP2,Eminem
1236,So Much Better,The Marshall Mathers LP2,Eminem
1241,Rap God,The Marshall Mathers LP2,Eminem
1248,Bad Guy,The Marshall Mathers LP2,Eminem
1250,So Much Better,The Marshall Mathers LP2,Eminem
1255,Rap God,The Marshall Mathers LP2,Eminem
1268,Bad Guy,The Marshall Mathers LP2,Eminem
1270,So Much Better,The Marshall Mathers LP2,Eminem
1275,Rap God,The Marshall Mathers LP2,Eminem
1283,Bad Guy,The Marshall Mathers LP2,Eminem
1285,So Much Better,The Marshall Mathers LP2,Eminem
1290,Rap God,The Marshall Mathers LP2,Eminem
1303,Bad Guy,The Marshall Mathers LP2,Eminem
1305,So Much Better,The Marshall Mathers LP2,Eminem
1310,Rap God,The Marshall Mathers LP2,Eminem
1317,Bad Guy,The Marshall Mathers LP2 (Deluxe),Eminem
1319,So Much Better,The Marshall Mathers LP2 (Deluxe),Eminem
1324,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem
1337,Bad Guy,The Marshall Mathers LP2,Eminem
1339,So Much Better,The Marshall Mathers LP2,Eminem
1344,Rap God,The Marshall Mathers LP2,Eminem
1354,On Fire,Recovery (Deluxe Edition),Eminem
1373,On Fire,Recovery,Eminem
1390,On Fire,Recovery,Eminem
1407,On Fire,Recovery,Eminem
